entry_date,entry_price,exit_date,exit_price,PnL,Balance,Cum_PnL
2022-09-24 21:15:00,18962.4,2022-09-25 01:15:00,18944.9,17.5,490836.4399999996,390836.4399999996
2022-09-25 01:30:00,18974.0,2022-09-25 12:45:00,19079.8,105.8,490942.2399999996,390942.2399999996
2022-09-25 13:00:00,19053.4,2022-09-25 15:45:00,18978.3,75.1,491017.33999999956,391017.33999999956
2022-09-25 16:00:00,19057.4,2022-09-25 17:15:00,18912.6,-144.8,490872.5399999996,390872.5399999996
2022-09-25 17:30:00,18904.0,2022-09-26 02:15:00,18888.7,15.3,490887.83999999956,390887.83999999956
2022-09-26 02:30:00,18878.4,2022-09-26 05:45:00,18760.2,-118.2,490769.63999999955,390769.63999999955
2022-09-26 06:00:00,18693.3,2022-09-26 07:15:00,18850.8,-157.5,490612.13999999955,390612.13999999955
2022-09-26 07:30:00,18909.8,2022-09-26 10:45:00,19084.0,174.2,490786.33999999956,390786.33999999956
2022-09-26 11:00:00,18964.9,2022-09-26 13:15:00,19049.1,-84.2,490702.13999999955,390702.13999999955
2022-09-26 13:30:00,19132.9,2022-09-27 05:45:00,20198.21,1065.31,491767.44999999955,391767.44999999955
2022-09-27 15:45:00,19885.3,2022-09-27 22:45:00,19066.6,818.7,492586.14999999956,392586.14999999956
2022-09-27 23:00:00,19146.2,2022-09-28 01:45:00,18997.9,-148.3,492437.84999999957,392437.84999999957
2022-09-28 02:00:00,18831.6,2022-09-28 04:15:00,18782.3,49.3,492487.14999999956,392487.14999999956
2022-09-28 04:30:00,18788.4,2022-09-28 23:15:00,19529.8,741.4,493228.5499999996,393228.5499999996
2022-09-28 23:30:00,19436.5,2022-09-29 04:00:00,19509.5,-73.0,493155.5499999996,393155.5499999996
2022-09-29 04:15:00,19536.0,2022-09-29 05:45:00,19446.6,-89.4,493066.14999999956,393066.14999999956
2022-09-29 06:00:00,19348.3,2022-09-29 11:15:00,19478.4,-130.1,492936.0499999996,392936.0499999996
2022-09-29 11:30:00,19502.6,2022-09-29 12:15:00,19374.9,-127.7,492808.34999999957,392808.34999999957
2022-09-29 12:30:00,19215.6,2022-09-29 15:00:00,19210.6,5.0,492813.34999999957,392813.34999999957
2022-09-29 15:15:00,19265.1,2022-09-30 02:00:00,19428.3,163.2,492976.5499999996,392976.5499999996
2022-09-30 02:15:00,19377.7,2022-09-30 06:45:00,19438.6,-60.9,492915.64999999956,392915.64999999956
2022-09-30 07:00:00,19543.9,2022-09-30 11:30:00,19470.5,-73.4,492842.24999999953,392842.24999999953
2022-09-30 11:45:00,19430.3,2022-09-30 13:30:00,19337.6,92.7,492934.94999999955,392934.94999999955
2022-09-30 13:45:00,19465.3,2022-09-30 15:45:00,19749.4,284.1,493219.0499999995,393219.0499999995
2022-09-30 16:00:00,19664.6,2022-10-01 03:30:00,19393.3,271.3,493490.3499999995,393490.3499999995
2022-10-01 03:45:00,19408.0,2022-10-01 07:00:00,19294.9,-144.13,493346.2199999995,393346.2199999995
2022-10-01 11:15:00,19199.4,2022-10-01 11:30:00,19284.6,-85.2,493261.0199999995,393261.0199999995
2022-10-01 11:45:00,19304.2,2022-10-01 17:45:00,19266.8,-37.4,493223.6199999995,393223.6199999995
2022-10-01 18:00:00,19240.0,2022-10-01 22:15:00,19307.1,-67.1,493156.5199999995,393156.5199999995
2022-10-01 22:30:00,19312.9,2022-10-02 08:15:00,19276.9,-36.0,493120.5199999995,393120.5199999995
2022-10-02 08:30:00,19256.9,2022-10-02 11:00:00,19150.1,106.8,493227.3199999995,393227.3199999995
2022-10-02 11:15:00,19252.5,2022-10-02 14:30:00,19129.1,-123.4,493103.91999999946,393103.91999999946
2022-10-02 14:45:00,19096.0,2022-10-02 17:15:00,19180.0,-84.0,493019.91999999946,393019.91999999946
2022-10-02 17:30:00,19203.3,2022-10-02 20:45:00,19223.3,20.0,493039.91999999946,393039.91999999946
2022-10-02 21:00:00,19174.0,2022-10-03 00:45:00,19084.0,90.0,493129.91999999946,393129.91999999946
2022-10-03 01:00:00,19181.4,2022-10-03 09:15:00,19172.9,-8.5,493121.41999999946,393121.41999999946
2022-10-03 09:30:00,19148.3,2022-10-03 12:45:00,19245.9,-97.6,493023.8199999995,393023.8199999995
2022-10-03 13:00:00,19293.5,2022-10-04 01:30:00,19542.0,248.5,493272.3199999995,393272.3199999995
2022-10-04 01:45:00,19500.1,2022-10-04 05:15:00,19609.2,-152.22,493120.0999999995,393120.0999999995
2022-10-04 06:15:00,19713.3,2022-10-04 08:30:00,19940.8,227.5,493347.5999999995,393347.5999999995
2022-10-04 08:45:00,19879.7,2022-10-04 13:30:00,20044.6,-240.69,493106.9099999995,393106.9099999995
2022-10-04 13:45:00,20089.9,2022-10-04 15:45:00,20092.2,2.3,493109.2099999995,393109.2099999995
2022-10-04 16:00:00,19993.0,2022-10-04 18:30:00,20060.1,-67.1,493042.1099999995,393042.1099999995
2022-10-04 18:45:00,20115.5,2022-10-04 23:45:00,20333.0,217.5,493259.6099999995,393259.6099999995
2022-10-05 00:00:00,20242.7,2022-10-05 06:30:00,20201.0,41.7,493301.30999999953,393301.30999999953
2022-10-05 06:45:00,20244.5,2022-10-05 08:00:00,20106.8,-137.7,493163.6099999995,393163.6099999995
2022-10-05 08:15:00,20075.4,2022-10-05 15:15:00,19926.5,148.9,493312.50999999954,393312.50999999954
2022-10-05 15:30:00,19980.0,2022-10-05 20:30:00,20094.3,114.3,493426.80999999953,393426.80999999953
2022-10-05 20:45:00,19977.5,2022-10-05 23:45:00,20150.0,-172.5,493254.30999999953,393254.30999999953
2022-10-06 00:00:00,20238.1,2022-10-06 06:00:00,20250.3,12.2,493266.50999999954,393266.50999999954
2022-10-06 06:15:00,20206.0,2022-10-07 02:00:00,19976.5,229.5,493496.00999999954,393496.00999999954
2022-10-07 02:15:00,20021.1,2022-10-07 06:00:00,19950.8,-70.3,493425.70999999956,393425.70999999956
2022-10-07 06:15:00,19820.0,2022-10-07 07:45:00,19916.8,-96.8,493328.90999999957,393328.90999999957
2022-10-07 08:00:00,19953.9,2022-10-07 12:15:00,20023.2,-186.58,493142.32999999955,393142.32999999955
2022-10-07 12:45:00,19608.8,2022-10-07 20:00:00,19449.3,159.5,493301.82999999955,393301.82999999955
2022-10-07 20:15:00,19539.0,2022-10-08 03:00:00,19522.2,-16.8,493285.02999999956,393285.02999999956
2022-10-08 03:15:00,19519.1,2022-10-08 11:00:00,19497.6,21.5,493306.52999999956,393306.52999999956
2022-10-08 11:15:00,19516.5,2022-10-08 14:00:00,19464.4,-52.1,493254.4299999996,393254.4299999996
2022-10-08 14:15:00,19435.2,2022-10-08 16:15:00,19491.2,-56.0,493198.4299999996,393198.4299999996
2022-10-08 16:30:00,19501.0,2022-10-08 19:15:00,19454.3,-46.7,493151.7299999996,393151.7299999996
2022-10-08 19:30:00,19441.9,2022-10-08 22:00:00,19283.6,158.3,493310.02999999956,393310.02999999956
2022-10-08 22:15:00,19347.1,2022-10-09 04:00:00,19341.5,-5.6,493304.4299999996,393304.4299999996
2022-10-09 04:15:00,19331.7,2022-10-09 05:45:00,19398.8,-67.1,493237.3299999996,393237.3299999996
2022-10-09 06:00:00,19417.0,2022-10-09 21:45:00,19471.0,54.0,493291.3299999996,393291.3299999996
2022-10-09 22:00:00,19426.6,2022-10-10 01:00:00,19485.9,-59.3,493232.0299999996,393232.0299999996
2022-10-10 01:15:00,19493.1,2022-10-10 05:15:00,19457.0,-36.1,493195.92999999964,393195.92999999964
2022-10-10 05:30:00,19397.0,2022-10-10 09:15:00,19265.3,131.7,493327.62999999966,393327.62999999966
2022-10-10 09:30:00,19281.5,2022-10-10 15:15:00,19277.9,-3.6,493324.0299999997,393324.0299999997
2022-10-10 15:30:00,19242.1,2022-10-11 06:15:00,19046.2,195.9,493519.9299999997,393519.9299999997
2022-10-11 06:30:00,19083.8,2022-10-11 13:15:00,19112.6,28.8,493548.7299999997,393548.7299999997
2022-10-11 13:30:00,19095.6,2022-10-11 14:45:00,19028.0,67.6,493616.32999999967,393616.32999999967
2022-10-11 15:00:00,19093.9,2022-10-11 18:30:00,19025.8,-68.1,493548.2299999997,393548.2299999997
2022-10-11 18:45:00,18968.0,2022-10-11 23:30:00,19039.0,-71.0,493477.2299999997,393477.2299999997
2022-10-11 23:45:00,19055.0,2022-10-12 23:30:00,19149.3,94.3,493571.5299999997,393571.5299999997
2022-10-12 23:45:00,19148.0,2022-10-13 10:30:00,18596.21,551.79,494123.31999999966,394123.31999999966
2022-10-13 11:30:00,18812.4,2022-10-13 12:15:00,18700.0,-112.4,494010.91999999963,394010.91999999963
2022-10-13 12:30:00,18319.5,2022-10-13 12:30:00,18319.5,-451.13,493559.78999999963,393559.78999999963
2022-10-13 13:30:00,18367.7,2022-10-13 20:00:00,19409.28,1041.58,494601.36999999965,394601.36999999965
2022-10-14 07:00:00,19763.2,2022-10-14 12:30:00,19714.9,48.3,494649.66999999963,394649.66999999963
2022-10-14 12:45:00,19792.0,2022-10-14 13:45:00,19657.5,-134.5,494515.16999999963,394515.16999999963
2022-10-14 14:00:00,19442.4,2022-10-15 02:30:00,19179.9,262.5,494777.66999999963,394777.66999999963
2022-10-15 02:45:00,19186.6,2022-10-15 08:15:00,19136.0,-50.6,494727.06999999966,394727.06999999966
2022-10-15 08:30:00,19123.0,2022-10-15 10:00:00,19109.6,13.4,494740.4699999997,394740.4699999997
2022-10-15 10:15:00,19162.9,2022-10-15 17:15:00,19116.0,-46.9,494693.56999999966,394693.56999999966
2022-10-15 17:30:00,19099.0,2022-10-15 23:00:00,19043.2,55.8,494749.36999999965,394749.36999999965
2022-10-15 23:15:00,19103.1,2022-10-16 10:00:00,19136.0,32.9,494782.26999999967,394782.26999999967
2022-10-16 10:15:00,19117.7,2022-10-16 14:45:00,19120.3,-2.6,494779.6699999997,394779.6699999997
2022-10-16 15:00:00,19146.2,2022-10-16 20:00:00,19313.5,167.3,494946.9699999997,394946.9699999997
2022-10-16 20:15:00,19278.1,2022-10-16 21:45:00,19138.5,139.6,495086.56999999966,395086.56999999966
2022-10-16 22:00:00,19317.4,2022-10-17 00:45:00,19220.0,-97.4,494989.16999999963,394989.16999999963
2022-10-17 01:00:00,19176.6,2022-10-17 05:30:00,19238.7,-62.1,494927.06999999966,394927.06999999966
2022-10-17 05:45:00,19263.7,2022-10-17 17:15:00,19499.5,235.8,495162.86999999965,395162.86999999965
2022-10-17 17:30:00,19456.3,2022-10-17 22:00:00,19573.4,-151.79,495011.07999999967,395011.07999999967
2022-10-18 00:45:00,19587.9,2022-10-18 08:30:00,19558.9,-29.0,494982.07999999967,394982.07999999967
2022-10-18 08:45:00,19526.2,2022-10-18 12:15:00,19593.3,-67.1,494914.9799999997,394914.9799999997
2022-10-18 12:30:00,19593.0,2022-10-18 14:00:00,19545.4,-47.6,494867.3799999997,394867.3799999997
2022-10-18 14:15:00,19463.5,2022-10-18 20:15:00,19279.9,183.6,495050.9799999997,395050.9799999997
2022-10-18 20:30:00,19378.8,2022-10-19 00:30:00,19266.1,-112.7,494938.2799999997,394938.2799999997
2022-10-19 00:45:00,19226.1,2022-10-19 15:30:00,19216.8,9.3,494947.57999999967,394947.57999999967
2022-10-19 15:45:00,19259.8,2022-10-19 22:00:00,19173.2,-86.6,494860.9799999997,394860.9799999997
2022-10-19 22:15:00,19176.1,2022-10-20 02:00:00,19051.0,125.1,494986.07999999967,394986.07999999967
2022-10-20 02:15:00,19053.0,2022-10-20 12:30:00,19155.2,102.2,495088.2799999997,395088.2799999997
2022-10-20 12:45:00,19126.6,2022-10-20 14:00:00,19226.7,-100.1,494988.1799999997,394988.1799999997
2022-10-20 14:15:00,19292.7,2022-10-20 15:45:00,19244.3,-48.4,494939.7799999997,394939.7799999997
